participant,country,condition,problem,num_distance,correctness,congruency,rt,log_rt
10013,Malaysia,magnitude,7 | 6,1,TRUE,congruent,0.5674,-0.2461106685401665
10013,Malaysia,magnitude,9 | 4,5,TRUE,congruent,0.7001,-0.15483992234805422
10013,Malaysia,magnitude,4 | 9,5,TRUE,congruent,0.5679,-0.24572813131654084
10013,Malaysia,magnitude,3 | 1,2,TRUE,congruent,0.5168,-0.2866774950129723
10013,Malaysia,magnitude,9 | 8,1,FALSE,incongruent,0.5341,-0.2723774220308627
10013,Malaysia,magnitude,3 | 4,1,TRUE,congruent,1.2006,0.07939833901985499
10013,Malaysia,magnitude,9 | 7,2,TRUE,neutral,0.4667,-0.3309621991148441
10013,Malaysia,magnitude,3 | 8,5,TRUE,incongruent,0.5675,-0.24603413413483965
10014,Malaysia,magnitude,9 | 4,5,TRUE,congruent,0.9587,-0.018317272628714625
10014,Malaysia,magnitude,6 | 7,1,TRUE,congruent,0.6453,-0.190238334892875
10014,Malaysia,magnitude,8 | 6,2,TRUE,congruent,0.4096,-0.3876400520322256
10014,Malaysia,magnitude,1 | 3,2,FALSE,neutral,0.9412,-0.02631808149601631
10014,Malaysia,magnitude,7 | 9,2,TRUE,neutral,0.6075,-0.21645371772965016
10014,Malaysia,magnitude,7 | 6,1,FALSE,incongruent,0.6998,-0.15502606185311238
10014,Malaysia,magnitude,4 | 9,5,FALSE,incongruent,0.3732,-0.42805836492553767
10014,Malaysia,magnitude,9 | 8,1,TRUE,congruent,0.7769,-0.10963487855187583
10014,Malaysia,magnitude,8 | 9,1,TRUE,neutral,0.6891,-0.16171775008531147
